age,hours_work,social_media_use,rent,friends_count,highest_speed,dates,standard_drinks,countries,semesters,commute,data_interest,mark_goal,hours_studying,financial_pressure,work_study_ratio,social_engagement,gender,relationship_status,drug_use_ans,student_type,mainstream_advanced,lecture_mode,study_type,learner_style,stress_category
33.590000000000146,50.0,0.0,0.0,100.0,180.0,0.0,20.0,40.80000000000018,9.0,100.0,0.0,2.41,0.0,0.0,20.0,33.333333333333336,Male,Married,No,International,DATA1901,Lecture Slides,I leave things to the last minute,Style 2,High
19.0,0.0,2.4,0.0,2.0,180.0,2.0,0.0,8.0,2.0,50.0,6.0,75.0,6.0,0.0,0.0,0.8333333333333334,Female,In a relationship,No,Domestic,DATA1001,Lecture Slides,I leave things to the last minute,Style 2,High
17.0,0.0,0.9,549.0,18.0,120.0,0.0,0.0,9.0,0.0,10.0,3.0,80.0,4.0,549.0,0.0,20.0,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,Low
19.0,22.0,2.12,0.0,7.0,200.0,5.0,5.0,20.0,1.0,70.0,3.0,85.0,4.0,0.0,5.5,3.30188679245283,Female,Single,Yes,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,Low
18.0,0.0,6.0,0.0,6.0,100.0,0.0,0.0,10.0,1.0,45.0,4.0,80.0,4.0,0.0,0.0,1.0,Male,Single,No,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,Average
17.0,13.5,3.0,0.0,2.0,90.0,0.0,0.0,4.0,0.0,85.0,6.0,80.0,3.0,0.0,4.5,0.6666666666666666,Female,Single,Yes,Domestic,DATA1001,Lecture Slides,It changes depending on the subject,Style 1,Low
19.0,7.0,6.0,0.0,5.0,130.0,6.0,5.0,4.0,1.0,30.0,7.0,70.0,5.0,0.0,1.4,0.8333333333333334,Male,In a relationship,No,International,DATA1001,Recording,It changes depending on the subject,Style 2,Average
19.0,30.0,3.85,347.0,0.0,0.0,0.0,0.0,3.0,2.0,30.0,7.0,85.0,3.0,11.566666666666666,10.0,0.0,Female,Single,No,International,DATA1001,Recording,I work steadily all semester,Style 1,Average
22.0,4.0,1.0,0.0,23.0,120.0,45.0,0.0,12.0,10.0,60.0,4.0,100.0,4.0,0.0,1.0,23.0,Female,In a relationship,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 2,Low
19.0,20.0,3.33,0.0,4.0,110.0,0.0,0.0,10.0,2.0,60.0,7.0,85.0,3.0,0.0,6.666666666666667,1.2012012012012012,Female,Single,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 3,High
20.0,20.0,5.33,170.0,30.0,120.0,0.0,0.0,3.0,1.0,15.0,7.0,85.0,4.0,8.5,5.0,5.628517823639775,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Low
