cohort,consent,age,gender,country_of_birth,country_of_birth_5_TEXT,hours_work,social_media_use,rent,friends_count,stress,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest,mark_goal,hours_studying,lecture_mode,study_type,learner_style
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Việt Nam,0,1,300,6,3,120,Single,0,4,4,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,90,7,85,4,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,20,Male,USA,,0,4,0,3,6,160,Single,3,12,4,Have you ever gotten high off recreational drugs?,Yes,International,DATA1001,4,9,7,95,4,Live in the Lecture Theatre,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,18,Female,Australia,,15,5.5,0,15,7,120,Single,0,0,30,Have you ever used recreational drugs?,No,Domestic,DATA1001,0,20,5,80,3,Recording,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,21,Male,China,,21,3,860,5,5,110,In a relationship,4,0,10,Have you ever used recreational drugs?,No,International,DATA1001,4,45,7,95,8,Recording,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Male,Other Please Specify,NZ,0,3.00,650,5,0,120,Single,0,12,8,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,3,20,2,90,2,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,20,Male,Other Please Specify,Korea,0,2,0,0,5,60,Single,1,1,4,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,20,5,80,7,Live in the Lecture Theatre,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,19,Male,China,,5,4.21,0,15,2,150,In a relationship,5,30,6,Have you ever used recreational drugs?,No,International,DATA1001,1,15,4,90,5,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Viet Nam,10,6,759,1,1,100,Single,0,1,5,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,15,10,10,10,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,18,Female,Australia,,8,3.5,50,45,3,135,Its complicated,3,0,1,Have you ever used recreational drugs?,No,Domestic,DATA1001,2,20,6,100,4,Live in the Lecture Theatre,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,21,Male,Australia,,42.5,5.5,210,0,9,120,In a relationship,5,20,10,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,3,45,6,51,5,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,20,Female,China,,3,8,690,10,5,120,Single,0,7,8,Have you ever used recreational drugs?,No,International,DATA1001,2,20,5,90,2,Recording,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,18,Female,India,,0,1.45,275,15,6,90,Single,3,0,6,Have you ever gotten high off recreational drugs?,Yes,International,DATA1001,1,25,8,80,3,Live in the Lecture Theatre,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,18,Male,Australia,,15,9.3,0,30,3,140,In a relationship,50,0,4,Have you ever used recreational drugs?,No,Domestic,DATA1001,1,75,2,100,5,Recording,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Female,China,,0,6.35,477,5,4,120,Single,0,0,7,Have you ever gotten high off recreational drugs?,No,International,DATA1001,1,10,0,74,1,Live Stream from Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,19,Female,Other Please Specify,Hong Kong,4,2.3,0,10,4,0,Single,0,2,15,Have you ever used recreational drugs?,No,Domestic,DATA1001,1,30,2,50,3,Live in the Lecture Theatre,It changes depending on the subject,Style 2
